"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Ferramentas do blog","0","Calculadora de Dias Úteis","7","0","Contagem de dias úteis com toggles de sábado/domingo e feriados nacionais","0"
"0","Funil de conversão","0","CTA Faça o Download","1","0","Badges visíveis no rodapé","0"
"0","Ferramentas do blog","0","Calculadora de Juros Compostos","5","0","Cálculo de juros compostos puros (sem aporte mensal)","0"
"0","Funil de conversão","0","CTA Ir para o site","1","0","Carregamento da home","0"
"0","Funil de conversão","0","CTA Faça o Download","1","0","Lojas respondem e identificam o Agibank","0"
"0","Ferramentas do blog","0","Calculadora de Dias Úteis","1","0","Validação: data inicial posterior à final","0"
"0","Funil de conversão","0","CTA Ir para o site","1","0","CTA Ir para o site","0"
